iter	Passed	Remaining
0	0	81
1	1	77
2	2	76
3	3	74
4	3	72
5	4	69
6	5	67
7	5	66
8	6	64
9	7	63
10	7	62
11	8	62
12	9	62
13	10	61
14	10	60
15	11	60
16	12	59
17	12	57
18	13	56
19	13	55
20	14	53
21	14	52
22	15	51
23	15	50
24	16	49
25	16	48
26	17	47
27	18	46
28	18	45
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	22	41
35	22	40
36	23	39
37	23	38
38	24	38
39	25	37
40	25	36
41	25	35
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	31
48	29	31
49	30	30
50	30	29
51	31	28
52	32	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	36	22
62	37	21
63	38	21
64	38	20
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	44	14
75	44	14
76	45	13
77	45	12
78	46	12
79	47	11
80	47	11
81	48	10
82	48	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
